food_name,food_type,serving_size,meal_type,calories_kcal,protein_g,carbs_g,fats_g,saturated_fat_g,monounsaturated_fat_g,polyunsaturated_fat_g,trans_fat_g,fiber_g,sodium_mg,calcium_mg,phosphorus_mg
Oats Porridge,veg,100g cooked,breakfast,210,7.4,44.24,12.26,5.92,4.11,3.15,0.17,1.22,101,235,200
Idli,veg,100g cooked,breakfast,233,8.23,12.96,9.65,3.42,2.7,1.55,0.04,4.44,298,113,337
Dosa,veg,100g cooked,breakfast,245,8.97,12.34,6.66,1.71,1.7,1.37,0.03,4.59,115,267,77
Upma,veg,100g cooked,breakfast,293,20.2,12.86,14.78,6.93,4.56,3.81,0.03,6.79,203,96,221
Poha,veg,100g cooked,breakfast,306,24.12,26.64,6.28,1.79,1.97,1.54,0.12,1.8,551,203,76
Scrambled Eggs,non-veg,100g cooked,breakfast,195,24.81,22.71,4.57,0.94,1.44,0.72,0.02,4.26,598,87,95
Boiled Egg,non-veg,100g cooked,breakfast,164,17.61,7.9,10.77,4.64,2.74,2.44,0.17,5.35,698,37,182
Omelette,veg,100g cooked,breakfast,337,16.7,38.35,2.99,0.89,0.79,0.77,0.05,0.83,252,94,327
Protein Oats,veg,100g cooked,breakfast,239,19.26,24.79,8.8,2.23,3.0,2.3,0.01,4.55,287,250,20
Paratha,veg,100g cooked,breakfast,254,19.7,7.24,9.22,3.86,1.88,2.26,0.0,6.91,163,162,244
Chapati + Sabzi Combo,veg,100g cooked,breakfast,192,11.33,21.1,16.89,4.96,6.42,3.61,0.25,2.15,698,262,268
Ragi Dosa,veg,100g cooked,breakfast,47,26.51,17.79,1.83,0.39,0.49,0.48,0.0,7.0,141,99,204
Pancake,veg,100g cooked,breakfast,161,26.96,19.91,14.65,7.31,3.93,2.03,0.27,5.39,196,161,291
Banana Smoothie,veg,1 cup,breakfast,79,11.34,43.87,9.63,2.01,2.61,1.83,0.19,4.81,88,269,347
Protein Shake,veg,100g cooked,breakfast,338,21.19,29.77,1.45,0.51,0.45,0.27,0.02,6.2,88,124,338
Chia Pudding,veg,100g cooked,breakfast,241,2.9,24.41,7.51,3.53,1.89,0.76,0.06,1.76,191,55,216
Coffee (Black),veg,1 cup,breakfast,284,24.7,29.56,3.74,0.89,0.8,0.81,0.02,5.66,489,230,24
Coffee with Milk,veg,1 cup,breakfast,286,1.08,36.17,8.85,2.97,2.25,1.92,0.1,4.98,68,174,294
French Toast,veg,100g cooked,breakfast,169,22.41,36.35,2.41,1.06,0.85,0.52,0.01,1.45,345,83,146
Veg Sandwich,veg,100g cooked,breakfast,196,1.98,32.64,8.17,1.64,1.77,0.84,0.05,3.41,388,271,119
Egg Sandwich,non-veg,100g cooked,breakfast,167,19.15,32.15,7.51,2.18,1.93,1.09,0.0,3.26,507,209,214
